text,language_ID,language_name,abbr,language_type,macro_region,natives,non_natives,SI,GI,total_no_tokens,corpus
CAN_s1a-010_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,268,1285,2196,ICE
CAN_s1a-011_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,376,1544,2382,ICE
CAN_s1a-012_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,271,1256,2285,ICE
CAN_s1a-013_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,342,1371,2340,ICE
CAN_s1a-014_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,362,1348,2285,ICE
CAN_s1a-015_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,322,1380,2168,ICE
CAN_s1a-016_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,367,1368,2165,ICE
CAN_s1a-017_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,319,1354,2237,ICE
CAN_s1a-018_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,319,1299,2140,ICE
CAN_s1a-019_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,302,1327,2305,ICE
CAN_s1a-020_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,321,1285,2210,ICE
CAN_s1a-021_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,296,1241,2229,ICE
CAN_s1a-022_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,320,1312,2225,ICE
CAN_s1a-023_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,372,1324,2192,ICE
CAN_s1a-024_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,257,1242,2196,ICE
CAN_s1a-025_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,297,1328,2162,ICE
CAN_s1a-026_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,340,1345,2187,ICE
CAN_s1a-027_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,344,1351,2190,ICE
CAN_s1a-028_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,380,1395,2167,ICE
CAN_s1a-029_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,296,1216,2183,ICE
CAN_s1a-030_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,312,1223,2167,ICE
CAN_s1a-031_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,268,1253,2142,ICE
CAN_s1a-032_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,354,1432,2258,ICE
CAN_s1a-033_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,247,1307,2180,ICE
CAN_s1a-034_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,333,1361,2183,ICE
CAN_s1a-035_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,339,1337,2208,ICE
CAN_s1a-036_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,286,1302,2173,ICE
CAN_s1a-037_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,276,1391,2379,ICE
CAN_s1a-038_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,315,1207,2250,ICE
CAN_s1a-039_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,351,1326,2127,ICE
CAN_s1a-040_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,355,1303,2144,ICE
CAN_s1a-041_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,335,1282,2094,ICE
CAN_s1a-042_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,320,1289,2089,ICE
CAN_s1a-043_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,340,1354,2141,ICE
CAN_s1a-044_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,326,1347,2219,ICE
CAN_s1a-045_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,326,1300,2173,ICE
CAN_s1a-046_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,256,1319,2154,ICE
CAN_s1a-047_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,243,1326,2184,ICE
CAN_s1a-048_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,231,1305,2154,ICE
CAN_s1a-049_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,317,1386,2145,ICE
CAN_s1a-050_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,350,1375,2180,ICE
CAN_s1a-051_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,355,1324,2102,ICE
CAN_s1a-052_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,338,1335,2192,ICE
CAN_s1a-053_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,331,1335,2111,ICE
CAN_s1a-054_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,303,1212,2117,ICE
CAN_s1a-055_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,345,1287,2116,ICE
CAN_s1a-056_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,296,1323,2157,ICE
CAN_s1a-057_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,285,1268,2129,ICE
CAN_s1a-058_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,304,1264,2117,ICE
CAN_s1a-059_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,294,1268,2186,ICE
CAN_s1a-060_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,319,1332,2176,ICE
CAN_s1a-061_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,325,1318,2175,ICE
CAN_s1a-062_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,257,1339,2163,ICE
CAN_s1a-063_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,311,1329,2178,ICE
CAN_s1a-064_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,293,1257,2136,ICE
CAN_s1a-065_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,301,1372,2200,ICE
CAN_s1a-066_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,332,1430,2235,ICE
CAN_s1a-067_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,354,1553,2382,ICE
CAN_s1a-068_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,318,1394,2223,ICE
CAN_s1a-069_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,348,1410,2183,ICE
CAN_s1a-070_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,348,1468,2186,ICE
CAN_s1a-071_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,299,1399,2206,ICE
CAN_s1a-072_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,306,1310,2212,ICE
CAN_s1a-073_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,327,1312,2252,ICE
CAN_s1a-074_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,380,1363,2323,ICE
CAN_s1a-075_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,351,1377,2407,ICE
CAN_s1a-076_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,336,1358,2260,ICE
CAN_s1a-077_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,384,1445,2096,ICE
CAN_s1a-078_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,355,1379,2133,ICE
CAN_s1a-079_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,245,1290,2166,ICE
CAN_s1a-080_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,322,1392,2168,ICE
CAN_s1a-081_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,324,1339,2160,ICE
CAN_s1a-082_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,355,1407,2230,ICE
CAN_s1a-083_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,411,1438,2270,ICE
CAN_s1a-084_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,349,1459,2261,ICE
CAN_s1a-085_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,329,1369,2215,ICE
CAN_s1a-086_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,350,1379,2211,ICE
CAN_s1a-087_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,373,1425,2290,ICE
CAN_s1a-088_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,368,1427,2384,ICE
CAN_s1a-089_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,331,1395,2135,ICE
CAN_s1a-090_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,359,1394,2172,ICE
CAN_s1a-091_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,362,1365,2292,ICE
CAN_s1a-092_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,363,1420,2442,ICE
CAN_s1a-093_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,389,1411,2427,ICE
CAN_s1a-094_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,347,1403,2368,ICE
CAN_s1a-095_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,337,1496,2464,ICE
CAN_s1a-096_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,349,1323,2291,ICE
CAN_s1a-097_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,341,1417,2345,ICE
CAN_s1a-098_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,292,1320,2266,ICE
CAN_s1a-099_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,315,1385,2342,ICE
CAN_s1a-100_R1000.txt,79,Canadian English,CanE,L1c,Am,21372885,12264550,285,1356,2301,ICE
GB_s1a-001_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,317,1346,2055,ICE
GB_s1a-002_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,297,1272,2070,ICE
GB_s1a-003_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,275,1297,2152,ICE
GB_s1a-004_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,329,1297,2093,ICE
GB_s1a-005_R1000.txt,78,British English,BrE,L1c,BI,52178078,10164913,300,1370,2185,ICE
