text,area,total_no_tokens,SI,GI
CAN_s1a-070_R1000.txt,CAN,2186,348,1468
CAN_s1a-071_R1000.txt,CAN,2206,299,1399
CAN_s1a-072_R1000.txt,CAN,2212,306,1310
CAN_s1a-073_R1000.txt,CAN,2252,327,1312
CAN_s1a-074_R1000.txt,CAN,2323,380,1363
CAN_s1a-075_R1000.txt,CAN,2407,351,1377
CAN_s1a-076_R1000.txt,CAN,2260,336,1358
CAN_s1a-077_R1000.txt,CAN,2096,384,1445
CAN_s1a-078_R1000.txt,CAN,2133,355,1379
CAN_s1a-079_R1000.txt,CAN,2166,245,1290
CAN_s1a-080_R1000.txt,CAN,2168,322,1392
CAN_s1a-081_R1000.txt,CAN,2160,324,1339
CAN_s1a-082_R1000.txt,CAN,2230,355,1407
CAN_s1a-083_R1000.txt,CAN,2270,411,1438
CAN_s1a-084_R1000.txt,CAN,2261,349,1459
CAN_s1a-085_R1000.txt,CAN,2215,329,1369
CAN_s1a-086_R1000.txt,CAN,2211,350,1379
CAN_s1a-087_R1000.txt,CAN,2290,373,1425
CAN_s1a-088_R1000.txt,CAN,2384,368,1427
CAN_s1a-089_R1000.txt,CAN,2135,331,1395
CAN_s1a-090_R1000.txt,CAN,2172,359,1394
CAN_s1a-091_R1000.txt,CAN,2292,362,1365
CAN_s1a-092_R1000.txt,CAN,2442,363,1420
CAN_s1a-093_R1000.txt,CAN,2427,389,1411
CAN_s1a-094_R1000.txt,CAN,2368,347,1403
CAN_s1a-095_R1000.txt,CAN,2464,337,1496
CAN_s1a-096_R1000.txt,CAN,2291,349,1323
CAN_s1a-097_R1000.txt,CAN,2345,341,1417
CAN_s1a-098_R1000.txt,CAN,2266,292,1320
CAN_s1a-099_R1000.txt,CAN,2342,315,1385
CAN_s1a-100_R1000.txt,CAN,2301,285,1356
GB_s1a-001_R1000.txt,GB,2055,317,1346
GB_s1a-002_R1000.txt,GB,2070,297,1272
GB_s1a-003_R1000.txt,GB,2152,275,1297
GB_s1a-004_R1000.txt,GB,2093,329,1297
GB_s1a-005_R1000.txt,GB,2185,300,1370
GB_s1a-006_R1000.txt,GB,2146,297,1343
GB_s1a-007_R1000.txt,GB,2101,305,1319
GB_s1a-008_R1000.txt,GB,2280,388,1461
GB_s1a-009_R1000.txt,GB,2017,313,1087
GB_s1a-010_R1000.txt,GB,2111,284,1295
GB_s1a-011_R1000.txt,GB,1984,293,1191
GB_s1a-012_R1000.txt,GB,1849,309,1166
GB_s1a-013_R1000.txt,GB,2229,350,1382
GB_s1a-014_R1000.txt,GB,2067,345,1305
GB_s1a-015_R1000.txt,GB,2045,274,1251
GB_s1a-016_R1000.txt,GB,2108,250,1246
GB_s1a-017_R1000.txt,GB,1854,278,1130
GB_s1a-018_R1000.txt,GB,2041,310,1231
GB_s1a-019_R1000.txt,GB,2327,341,1383
GB_s1a-020_R1000.txt,GB,2012,300,1198
GB_s1a-021_R1000.txt,GB,1890,273,1119
GB_s1a-022_R1000.txt,GB,1900,304,1155
GB_s1a-023_R1000.txt,GB,2219,323,1290
GB_s1a-024_R1000.txt,GB,2191,258,1272
GB_s1a-025_R1000.txt,GB,2183,351,1263
GB_s1a-026_R1000.txt,GB,2000,270,1162
GB_s1a-027_R1000.txt,GB,1832,254,1097
GB_s1a-028_R1000.txt,GB,2183,365,1358
GB_s1a-029_R1000.txt,GB,2212,303,1309
GB_s1a-030_R1000.txt,GB,1933,296,1212
GB_s1a-031_R1000.txt,GB,2063,266,1262
GB_s1a-032_R1000.txt,GB,1704,288,1054
GB_s1a-033_R1000.txt,GB,2020,278,1217
GB_s1a-034_R1000.txt,GB,2079,311,1231
GB_s1a-035_R1000.txt,GB,2047,245,1195
GB_s1a-036_R1000.txt,GB,2097,335,1284
GB_s1a-037_R1000.txt,GB,2268,327,1358
GB_s1a-038_R1000.txt,GB,1945,297,1186
GB_s1a-039_R1000.txt,GB,2094,341,1247
GB_s1a-040_R1000.txt,GB,2447,418,1535
GB_s1a-041_R1000.txt,GB,2258,344,1323
GB_s1a-042_R1000.txt,GB,2021,301,1197
GB_s1a-043_R1000.txt,GB,1797,221,1078
GB_s1a-044_R1000.txt,GB,1806,295,1078
GB_s1a-045_R1000.txt,GB,2114,318,1347
GB_s1a-046_R1000.txt,GB,1910,284,1159
GB_s1a-047_R1000.txt,GB,2146,322,1400
GB_s1a-048_R1000.txt,GB,1969,240,1130
GB_s1a-049_R1000.txt,GB,2025,373,1270
GB_s1a-050_R1000.txt,GB,2277,348,1496
GB_s1a-051_R1000.txt,GB,1995,298,1195
GB_s1a-052_R1000.txt,GB,2044,343,1376
GB_s1a-053_R1000.txt,GB,2208,349,1326
GB_s1a-054_R1000.txt,GB,2240,332,1391
GB_s1a-055_R1000.txt,GB,1906,340,1172
GB_s1a-056_R1000.txt,GB,1964,285,1206
GB_s1a-057_R1000.txt,GB,2154,291,1299
GB_s1a-058_R1000.txt,GB,2097,345,1312
GB_s1a-059_R1000.txt,GB,2004,302,1256
GB_s1a-060_R1000.txt,GB,2207,301,1452
GB_s1a-061_R1000.txt,GB,2176,295,1245
GB_s1a-062_R1000.txt,GB,2047,272,1321
GB_s1a-063_R1000.txt,GB,1928,319,1159
GB_s1a-064_R1000.txt,GB,2043,329,1396
GB_s1a-065_R1000.txt,GB,1885,297,1154
GB_s1a-066_R1000.txt,GB,2088,277,1216
GB_s1a-067_R1000.txt,GB,2105,310,1265
GB_s1a-068_R1000.txt,GB,1994,313,1240
GB_s1a-069_R1000.txt,GB,2154,313,1247
GB_s1a-070_R1000.txt,GB,1869,272,1179
GB_s1a-071_R1000.txt,GB,2103,305,1257
GB_s1a-072_R1000.txt,GB,1988,291,1223
GB_s1a-073_R1000.txt,GB,1860,271,1187
GB_s1a-074_R1000.txt,GB,1954,263,1040
GB_s1a-075_R1000.txt,GB,2205,326,1412
GB_s1a-076_R1000.txt,GB,2197,287,1352
GB_s1a-077_R1000.txt,GB,2131,275,1287
GB_s1a-078_R1000.txt,GB,1962,280,1246
GB_s1a-079_R1000.txt,GB,2160,272,1315
GB_s1a-080_R1000.txt,GB,2237,315,1379
GB_s1a-081_R1000.txt,GB,2107,349,1275
GB_s1a-082_R1000.txt,GB,2050,316,1318
GB_s1a-083_R1000.txt,GB,2015,253,1215
GB_s1a-084_R1000.txt,GB,2227,318,1402
GB_s1a-085_R1000.txt,GB,2137,362,1338
GB_s1a-086_R1000.txt,GB,1990,266,1243
GB_s1a-087_R1000.txt,GB,2291,311,1298
GB_s1a-088_R1000.txt,GB,2092,266,1187
GB_s1a-089_R1000.txt,GB,1969,299,1179
GB_s1a-090_R1000.txt,GB,1979,306,1273
GB_s1a-091_R1000.txt,GB,2153,335,1347
GB_s1a-092_R1000.txt,GB,1973,278,1200
GB_s1a-093_R1000.txt,GB,2049,289,1244
GB_s1a-094_R1000.txt,GB,2162,325,1324
GB_s1a-095_R1000.txt,GB,1763,219,910
GB_s1a-096_R1000.txt,GB,2285,359,1360
